trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-111.9278166105818,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-66.75205985920466,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-113.98897550972576,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-63.782298175839095,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-124.74596052850046,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",35,0,-249.05018606140996,"{0: 21, 1: 4, 2: 4, 3: 2, 4: 4}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-83.37783219273794,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",30,0,-118.85825276477615,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-117.8856489587577,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,0,-180.23760427347617,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-134.0722542030452,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,0,-147.735874891146,"{0: 10, 1: 8, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-36.70244438207346,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-153.77232417068012,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-153.95325443667403,"{0: 10, 1: 6, 2: 1, 3: 0, 4: 3}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",35,0,-171.37245810151305,"{0: 19, 1: 7, 2: 5, 3: 3, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-129.27402978264865,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-53.96985545041336,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-180.4142555813744,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-189.57045340929298,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",25,17,-42.27554071395643,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",30,0,-194.63832368196137,"{0: 12, 1: 3, 2: 12, 3: 2, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-91.53471157785037,"{0: 16, 1: 0, 2: 7, 3: 2, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520296}",20,0,-132.62262645340869,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",25,0,-104.04010130573178,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",35,0,-217.44864806909783,"{0: 16, 1: 4, 2: 12, 3: 1, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-74.48571902225645,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",25,0,-99.58802849608476,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-120.64592475119896,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",30,0,-122.3929250497186,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",25,0,-173.8373956697374,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,0,-107.95504304211332,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
