trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-83.82510538663651,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,11,-143.6512223755101,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 3}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-95.00535944285936,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-215.52837633120123,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-108.51460044232485,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-117.56321928372722,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-117.60571312587928,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-57.261889278296366,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-54.422295257991955,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-85.6040245194512,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-230.9793173685987,"{0: 6, 1: 5, 2: 5, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-92.72122163809476,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-117.57751167305187,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-184.61192700818174,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-182.14426342886043,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,0,-180.26367510807637,"{0: 17, 1: 8, 2: 6, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-81.22818623498829,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,1,-63.68816746933592,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,5,-178.37573028802134,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-135.29869061098998,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-166.8853288534525,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-139.87537284564976,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,5,-104.45916889559219,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,1,-111.93730973526465,"{0: 9, 1: 7, 2: 7, 3: 1, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-93.81805721793098,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,0,-236.69810388384107,"{0: 15, 1: 6, 2: 3, 3: 2, 4: 4}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-162.21139731131984,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-37.44078617987722,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-62.10461581904488,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-165.47156414509567,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
